INCIDENT_DATE_TIME,ZIP_CODE,UNITS_ONSCENE,URL
2014-03-12 09:31:48,10035,148,"https://www.nytimes.com/2014/03/13/nyregion/east-harlem-building-collapse.html
"
2014-03-18 07:01:24,11222,111,
2015-01-31 06:28:01,11211,151,
2015-02-04 12:02:06,11211,99,
2015-02-06 12:15:00,11211,168,
2015-03-26 03:17:40,10009,207,https://www.newyorker.com/culture/sarah-larson/the-east-village-fire-love-saves-the-day
2015-10-03 01:05:17,11219,126,https://www.nytimes.com/2015/10/04/nyregion/one-killed-and-three-hurt-by-explosion-in-borough-park-brooklyn.html
2016-02-05 08:24:18,10005,149,https://www.cnbc.com/2016/02/05/crane-apparently-collapses-in-downtown-new-york-fdny.html
2016-08-03 07:23:45,11101,90,https://www.nbcnewyork.com/news/local/Fire-Queens-Long-Island-City-Sunnyside-Smoke-389123422.html
2016-10-27 03:24:27,10128,90,https://patch.com/new-york/upper-east-side-nyc/upper-east-side-fire-massive-6-alarm-blaze-overtakes-row-house
2016-10-30 01:04:09,10016,111,
2017-04-11 06:25:45,11373,90,http://abc7ny.com/news/200-firefighters-respond-to-large-fire-in-elmhurst-building-11-hurt/1862005/
2017-09-01 06:47:28,10007,104,http://abc7ny.com/5-alarm-fire-burns-through-tribeca-building-11-firefighters-injured/2367162/
2017-11-17 03:14:09,10031,105,https://www.cbsnews.com/news/4-firefighters-injured-in-nyc-5-alarm-fire/
